dfs.namenode.list.encryption.zones.num.responses,23.46%
dfs.namenode.max.extra.edits.segments.retained,3.57%
dfs.namenode.max.objects,38.08%
dfs.namenode.name.dir,0.76%
dfs.namenode.name.dir.restore,0.05%
dfs.namenode.num.checkpoints.retained,1.36%
dfs.namenode.num.extra.edits.retained,3.62%
dfs.namenode.path.based.cache.block.map.allocation.percent,3.28%
dfs.namenode.path.based.cache.refresh.interval.ms,1.51%
dfs.namenode.path.based.cache.retry.interval.ms,1.01%
dfs.namenode.plugins,error
dfs.namenode.reject-unresolved-dn-topology-mapping,0.46%
dfs.namenode.replication.considerLoad,4.08%
dfs.namenode.replication.interval,4.57%
dfs.namenode.replication.min,4.66%
dfs.namenode.replication.work.multiplier.per.iteration,4.74%
dfs.namenode.resource.check.interval,1.25%
dfs.namenode.resource.checked.volumes,4.01%
dfs.namenode.resource.checked.volumes.minimum,error
dfs.namenode.resource.du.reserved,1.34%
dfs.namenode.retrycache.expirytime.millis,22.69%
dfs.namenode.retrycache.heap.percent,3.84%
dfs.namenode.rpc-address,4.17%
dfs.namenode.rpc-bind-host,4.41%
dfs.namenode.safemode.extension,4.85%
dfs.namenode.safemode.min.datanodes,3.32%
dfs.namenode.safemode.threshold-pct,3.38%
dfs.namenode.secondary.http-address,3.30%
dfs.namenode.secondary.https-address,4.09%
dfs.namenode.servicerpc-address,3.87%
dfs.namenode.servicerpc-bind-host,4.75%
dfs.namenode.shared.edits.dir,0.46%
dfs.namenode.stale.datanode.interval,0.28%
dfs.namenode.startup.delay.block.deletion.sec,22.69%
dfs.namenode.support.allow.format,2.67%
dfs.namenode.top.enabled,2.47%
dfs.namenode.top.num.users,1.86%
dfs.namenode.top.window.num.buckets,37.69%
dfs.namenode.top.windows.minutes,2.23%
dfs.namenode.write.stale.datanode.ratio,4.21%
dfs.namenode.xattrs.enabled,2.76%
dfs.nameservice.id,3.43%
dfs.nameservices,3.21%
dfs.permissions.enabled,0.03%
dfs.permissions.superusergroup,0.59%
dfs.replication,4.66%
dfs.replication.max,3.53%
dfs.secondary.namenode.kerberos.internal.spnego.principal,2.16%
dfs.short.circuit.shared.memory.watcher.interrupt.check.ms,2.92%
dfs.storage.policy.enabled,4.18%
dfs.stream-buffer-size,23.46%
dfs.trustedchannel.resolver.class,0.09%
dfs.user.home.dir.prefix,3.89%
dfs.webhdfs.enabled,23.46%
dfs.webhdfs.user.provider.user.pattern,2.68%
hadoop.fuse.connection.timeout,2.21%
hadoop.fuse.timer.period,1.70%
hadoop.hdfs.configuration.version,1.25%
hadoop.user.group.metrics.percentiles.intervals,error
nfs.allow.insecure.ports,2.78%
nfs.dump.dir,3.86%
nfs.kerberos.principal,4.13%
nfs.keytab.file,1.57%
nfs.mountd.port,0.74%
nfs.rtmax,3.56%
nfs.server.port,1.04%
nfs.wtmax,4.43%
